BDEV@Barratt Developments plc@551.80@-15.60@-2.75%
BA.@BAE Systems plc@585.00@-16.40@-2.73%
HSBA@HSBC Holdings plc@728.10@-19.20@-2.57%
BATS@British American Tobacco plc@4,354.50@-95.50@-2.15%
TUI@TUI AG@1,545.00@-34.00@-2.15%
IMB@Imperial Brands Group@2,609.50@-56.50@-2.12%
KGF@Kingfisher@353.60@-7.00@-1.94%
MNDI@Mondi Plc@1,892.50@-34.00@-1.76%
CCL@Carnival plc@4,839.00@-84.00@-1.71%
GSK@GlaxoSmithKline plc@1,303.00@-21.60@-1.63%
AHT@Ashtead Group plc@2,050.00@-33.00@-1.58%
ITRK@Intertek Group plc@4,939.00@-73.00@-1.46%
WPP@WPP plc@1,361.00@-18.50@-1.34%
DGE@Diageo plc@2,467.50@-29.00@-1.16%
PSN@Persimmon plc@2,456.00@-28.00@-1.13%
SGE@Sage Group plc@698.20@-7.80@-1.10%
GFS@G4S Plc@260.30@-2.50@-0.95%
CCH@Coca-Cola HBC AG@2,452.00@-23.00@-0.93%
BKG@Berkeley Group Holdings plc@3,856.00@-33.00@-0.85%
BRBY@Burberry Group plc@1,552.50@-13.00@-0.83%
